Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nepal,NPL,1998,Arable land (% of land area),AG.LND.ARBL.ZS,16.4132867132867
Nepal,NPL,1997,Arable land (% of land area),AG.LND.ARBL.ZS,16.3902097902098
Nepal,NPL,1996,Arable land (% of land area),AG.LND.ARBL.ZS,16.3671328671329
Nepal,NPL,1995,Arable land (% of land area),AG.LND.ARBL.ZS,16.3440559440559
Nepal,NPL,1994,Arable land (% of land area),AG.LND.ARBL.ZS,16.320979020979
Nepal,NPL,1993,Arable land (% of land area),AG.LND.ARBL.ZS,16.2979020979021
Nepal,NPL,1992,Arable land (% of land area),AG.LND.ARBL.ZS,16.2748251748252
Nepal,NPL,1991,Arable land (% of land area),AG.LND.ARBL.ZS,16.2517482517483
Nepal,NPL,1990,Arable land (% of land area),AG.LND.ARBL.ZS,16.2265734265734
Nepal,NPL,1989,Arable land (% of land area),AG.LND.ARBL.ZS,16.2013986013986
Nepal,NPL,1988,Arable land (% of land area),AG.LND.ARBL.ZS,16.1762237762238
Nepal,NPL,1987,Arable land (% of land area),AG.LND.ARBL.ZS,16.151048951049
Nepal,NPL,1986,Arable land (% of land area),AG.LND.ARBL.ZS,16.1258741258741
Nepal,NPL,1985,Arable land (% of land area),AG.LND.ARBL.ZS,16.1006993006993
Nepal,NPL,1984,Arable land (% of land area),AG.LND.ARBL.ZS,16.0755244755245
Nepal,NPL,1983,Arable land (% of land area),AG.LND.ARBL.ZS,16.0503496503496
Nepal,NPL,1982,Arable land (% of land area),AG.LND.ARBL.ZS,16.0251748251748
Nepal,NPL,1981,Arable land (% of land area),AG.LND.ARBL.ZS,16
Nepal,NPL,1980,Arable land (% of land area),AG.LND.ARBL.ZS,15.8741258741259
Nepal,NPL,1979,Arable land (% of land area),AG.LND.ARBL.ZS,15.7692307692308
Nepal,NPL,1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.6643356643357
Nepal,NPL,1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.5594405594406
Nepal,NPL,1976,Arable land (% of land area),AG.LND.ARBL.ZS,15.4545454545455
Nepal,NPL,1975,Arable land (% of land area),AG.LND.ARBL.ZS,15.3496503496503
Nepal,NPL,1974,Arable land (% of land area),AG.LND.ARBL.ZS,15.2447552447552
Nepal,NPL,1973,Arable land (% of land area),AG.LND.ARBL.ZS,15.1398601398601
Nepal,NPL,1972,Arable land (% of land area),AG.LND.ARBL.ZS,14.3706293706294
Nepal,NPL,1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.6573426573427
Nepal,NPL,1970,Arable land (% of land area),AG.LND.ARBL.ZS,13.6573426573427
Nepal,NPL,1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.7202797202797
Nepal,NPL,1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.7202797202797
Nepal,NPL,1967,Arable land (% of land area),AG.LND.ARBL.ZS,12.7202797202797
Nepal,NPL,1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.6293706293706
Nepal,NPL,1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.6293706293706
Nepal,NPL,1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.6293706293706
Nepal,NPL,1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.6993006993007
Nepal,NPL,1962,Arable land (% of land area),AG.LND.ARBL.ZS,12.6293706293706
Nepal,NPL,1961,Arable land (% of land area),AG.LND.ARBL.ZS,12.6293706293706
Nepal,NPL,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Nepal,NPL,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Nepal,NPL,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Nepal,NPL,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Nepal,NPL,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Nepal,NPL,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Nepal,NPL,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Nepal,NPL,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Nepal,NPL,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Nepal,NPL,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Nepal,NPL,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Nepal,NPL,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Nepal,NPL,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Nepal,NPL,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Nepal,NPL,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0
Nepal,NPL,2023,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2022,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2021,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2020,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2019,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2018,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2017,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2016,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2015,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2014,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2013,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2012,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2011,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2010,Forest area (sq. km),AG.LND.FRST.K2,59620.3
Nepal,NPL,2009,Forest area (sq. km),AG.LND.FRST.K2,59439.03
Nepal,NPL,2008,Forest area (sq. km),AG.LND.FRST.K2,59257.76
Nepal,NPL,2007,Forest area (sq. km),AG.LND.FRST.K2,59076.49
Nepal,NPL,2006,Forest area (sq. km),AG.LND.FRST.K2,58895.22
Nepal,NPL,2005,Forest area (sq. km),AG.LND.FRST.K2,58713.95
Nepal,NPL,2004,Forest area (sq. km),AG.LND.FRST.K2,58532.68
Nepal,NPL,2003,Forest area (sq. km),AG.LND.FRST.K2,58351.41
Nepal,NPL,2002,Forest area (sq. km),AG.LND.FRST.K2,58170.14
Nepal,NPL,2001,Forest area (sq. km),AG.LND.FRST.K2,57988.87
Nepal,NPL,2000,Forest area (sq. km),AG.LND.FRST.K2,57807.6
Nepal,NPL,1999,Forest area (sq. km),AG.LND.FRST.K2,57698.84
Nepal,NPL,1998,Forest area (sq. km),AG.LND.FRST.K2,57590.08
Nepal,NPL,1997,Forest area (sq. km),AG.LND.FRST.K2,57481.32
Nepal,NPL,1996,Forest area (sq. km),AG.LND.FRST.K2,57372.56
Nepal,NPL,1995,Forest area (sq. km),AG.LND.FRST.K2,57263.8
Nepal,NPL,1994,Forest area (sq. km),AG.LND.FRST.K2,57155.04
Nepal,NPL,1993,Forest area (sq. km),AG.LND.FRST.K2,57046.28
Nepal,NPL,1992,Forest area (sq. km),AG.LND.FRST.K2,56937.52
